EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
AEW-741,2023-10-04,AEW,AEW Rampage,AEW Rampage #113,Televised,"Stockton, California, USA",Stockton,California,USA
AEW-740,2023-10-04,AEW,AEW Dynamite,AEW Dynamite #209 - Anniversary 2023,Televised,"Stockton, California, USA",Stockton,California,USA
AEW-739,2023-10-01,AEW,AEW WrestleDream  Zero Hour,AEW WrestleDream 2023 - Zero Hour,Televised,"Seattle, Washington, USA",Seattle,Washington,USA
AEW-738,2023-10-01,AEW,AEW WrestleDream,AEW WrestleDream 2023,PLE/PPV,"Seattle, Washington, USA",Seattle,Washington,USA
AEW-737,2023-09-30,AEW,AEW Collision,AEW Collision #16,Televised,"Seattle, Washington, USA",Seattle,Washington,USA
AEW-736,2023-09-27,AEW,AEW Dynamite,AEW Dynamite #208,Televised,"Broomfield, Colorado, USA",Broomfield,Colorado,USA
AEW-735,2023-09-27,AEW,AEW Rampage,AEW Rampage #112,Televised,"Broomfield, Colorado, USA",Broomfield,Colorado,USA
AEW-734,2023-09-23,AEW,AEW Collision,AEW Collision #15,Televised,"Grand Rapids, Michigan, USA",Grand Rapids,Michigan,USA
AEW-733,2023-09-20,AEW,AEW Rampage,AEW Rampage #111 - Grand Slam 2023,Televised,"New York City, New York, USA",New York City,New York,USA
AEW-732,2023-09-20,AEW,AEW Dynamite,AEW Dynamite #207 - Grand Slam 2023,Televised,"New York City, New York, USA",New York City,New York,USA
AEW-731,2023-09-16,AEW,AEW Collision,AEW Collision #14,Televised,"State College, Pennsylvania, USA",State College,Pennsylvania,USA
AEW-730,2023-09-13,AEW,AEW Dynamite,AEW Dynamite #206,Televised,"Cincinnati, Ohio, USA",Cincinnati,Ohio,USA
AEW-729,2023-09-13,AEW,AEW Rampage,AEW Rampage #110,Televised,"Cincinnati, Ohio, USA",Cincinnati,Ohio,USA
AEW-728,2023-09-09,AEW,AEW Collision,AEW Collision #13,Televised,"Cleveland, Ohio, USA",Cleveland,Ohio,USA
AEW-727,2023-09-06,AEW,AEW Dynamite,AEW Dynamite #205,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA
AEW-726,2023-09-06,AEW,AEW Rampage,AEW Rampage #109,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA
AEW-725,2023-09-03,AEW,AEW All Out,AEW All Out 2023,PLE/PPV,"Chicago, Illinois, USA",Chicago,Illinois,USA
AEW-724,2023-09-03,AEW,AEW All Out  Zero Hour,AEW All Out 2023 - Zero Hour,Televised,"Chicago, Illinois, USA",Chicago,Illinois,USA
AEW-723,2023-09-02,AEW,AEW Collision,AEW Collision #12,Televised,"Chicago, Illinois, USA",Chicago,Illinois,USA
AEW-722,2023-08-30,AEW,AEW Dynamite,AEW Dynamite #204,Televised,"Hoffman Estates, Illinois, USA",Hoffman Estates,Illinois,USA
