EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
WWE-4118,2021-11-01,WWE,WWE Main Event,WWE Main Event #475,Televised,"Providence, Rhode Island, USA",Providence,Rhode Island,USA
WWE-4117,2021-10-29,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1158,Televised,"Wilkes-Barre, Pennsylvania, USA",Wilkes-Barre,Pennsylvania,USA
WWE-4116,2021-10-26,WWE,WWE 205 Live,WWE 205 Live #255,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4115,2021-10-26,WWE,WWE NXT,WWE NXT 2.0 #600 - Halloween Havoc 2021,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4114,2021-10-25,WWE,WWE Main Event,WWE Main Event #474,Televised,"Houston, Texas, USA",Houston,Texas,USA
WWE-4113,2021-10-25,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1483,Televised,"Houston, Texas, USA",Houston,Texas,USA
WWE-4112,2021-10-22,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1157,Televised,"Wichita, Kansas, USA",Wichita,Kansas,USA
WWE-4111,2021-10-21,WWE,WWE Crown Jewel,WWE Crown Jewel 2021 Kickoff,Televised,"Riyadh, Saudi-Arabien",Riyadh,Saudi-Arabien,Saudi Arabia
WWE-4110,2021-10-21,WWE,WWE Crown Jewel,WWE Crown Jewel 2021,PLE/PPV,"Riyadh, Saudi-Arabien",Riyadh,Saudi-Arabien,Saudi Arabia
WWE-4109,2021-10-19,WWE,WWE NXT,WWE NXT 2.0 #599,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4108,2021-10-19,WWE,WWE 205 Live,WWE 205 Live #254,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4107,2021-10-18,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1482,Televised,"Sacramento, California, USA",Sacramento,California,USA
WWE-4106,2021-10-18,WWE,WWE Main Event,WWE Main Event #473,Televised,"Sacramento, California, USA",Sacramento,California,USA
WWE-4105,2021-10-17,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"El Paso, Texas, USA",El Paso,Texas,USA
WWE-4104,2021-10-16,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Rio Rancho, New Mexico, USA",Rio Rancho,New Mexico,USA
WWE-4103,2021-10-15,WWE,WWE Tribute To The Troops,WWE Tribute To The Troops 2021,Televised,"Ontario, California, USA",Ontario,California,USA
WWE-4102,2021-10-15,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1156 - Supersized SmackDown,Televised,"Ontario, California, USA",Ontario,California,USA
WWE-4101,2021-10-12,WWE,WWE NXT,WWE NXT 2.0 #598,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4100,2021-10-12,WWE,WWE 205 Live,WWE 205 Live #253,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4099,2021-10-11,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1481,Televised,"San Francisco, California, USA",San Francisco,California,USA
WWE-4098,2021-10-11,WWE,WWE Main Event,WWE Main Event #472,Televised,"San Francisco, California, USA",San Francisco,California,USA
WWE-4097,2021-10-10,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Bakersfield, California, USA",Bakersfield,California,USA
WWE-4096,2021-10-09,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Fresno, California, USA",Fresno,California,USA
WWE-4095,2021-10-08,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1155,Televised,"San Jose, California, USA",San Jose,California,USA
WWE-4094,2021-10-07,WWE,WWE NXT UK,WWE NXT UK #171,Televised,"London, England, UK",London,England,UK
WWE-4093,2021-10-07,WWE,WWE NXT UK,WWE NXT UK #170,Televised,"London, England, UK",London,England,UK
WWE-4092,2021-10-07,WWE,WWE NXT UK,WWE NXT UK #169,Televised,"London, England, UK",London,England,UK
WWE-4091,2021-10-07,WWE,WWE NXT UK,WWE NXT UK #165,Televised,"London, England, UK",London,England,UK
WWE-4090,2021-10-06,WWE,WWE NXT UK,WWE NXT UK #168,Televised,"London, England, UK",London,England,UK
WWE-4089,2021-10-06,WWE,WWE NXT UK,WWE NXT UK #167,Televised,"London, England, UK",London,England,UK
WWE-4088,2021-10-06,WWE,WWE NXT UK,WWE NXT UK #166,Televised,"London, England, UK",London,England,UK
WWE-4087,2021-10-05,WWE,WWE NXT,WWE NXT 2.0 #597,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4086,2021-10-05,WWE,WWE 205 Live,WWE 205 Live #252,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4085,2021-10-04,WWE,WWE Main Event,WWE Main Event #471,Televised,"Nashville, Tennessee, USA",Nashville,Tennessee,USA
WWE-4084,2021-10-04,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1480 - Draft 2021,Televised,"Nashville, Tennessee, USA",Nashville,Tennessee,USA
WWE-4083,2021-10-03,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Lexington, Kentucky, USA",Lexington,Kentucky,USA
WWE-4082,2021-10-02,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"San Juan, Puerto Rico, USA",San Juan,Puerto Rico,USA
WWE-4081,2021-10-01,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1154 - Draft 2021,Televised,"Baltimore, Maryland, USA",Baltimore,Maryland,USA
WWE-4080,2021-09-30,WWE,WWE NXT UK,WWE NXT UK #164,Televised,"London, England, UK",London,England,UK
WWE-4079,2021-09-28,WWE,WWE NXT,WWE NXT 2.0 #596,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4078,2021-09-28,WWE,WWE 205 Live,WWE 205 Live #251,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4077,2021-09-27,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1479,Televised,"Cincinnati, Ohio, USA",Cincinnati,Ohio,USA
WWE-4076,2021-09-27,WWE,WWE Main Event,WWE Main Event #470,Televised,"Cincinnati, Ohio, USA",Cincinnati,Ohio,USA
WWE-4075,2021-09-26,WWE,WWE Extreme Rules,WWE Extreme Rules 2021,PLE/PPV,"Columbus, Ohio, USA",Columbus,Ohio,USA
WWE-4074,2021-09-26,WWE,WWE Extreme Rules,WWE Extreme Rules 2021 Kickoff,PLE/PPV,"Columbus, Ohio, USA",Columbus,Ohio,USA
WWE-4073,2021-09-25,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Hershey, Pennsylvania, USA",Hershey,Pennsylvania,USA
WWE-4072,2021-09-24,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1153,Televised,"Philadelphia, Pennsylvania, USA",Philadelphia,Pennsylvania,USA
WWE-4071,2021-09-23,WWE,WWE NXT UK,WWE NXT UK #163,Televised,"London, England, UK",London,England,UK
WWE-4070,2021-09-22,WWE,WWE Live,WWE Live,Non-Televised,"Glasgow, Scotland, UK",Glasgow,Scotland,UK
WWE-4069,2021-09-21,WWE,WWE NXT,WWE NXT 2.0 #595,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4068,2021-09-21,WWE,WWE Live,WWE Live,Non-Televised,"Cardiff, Wales, UK",Cardiff,Wales,UK
WWE-4067,2021-09-21,WWE,WWE 205 Live,WWE 205 Live #250,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4066,2021-09-20,WWE,WWE Main Event,WWE Main Event #469,Televised,"Raleigh, North Carolina, USA",Raleigh,North Carolina,USA
WWE-4065,2021-09-20,WWE,WWE Live,WWE Live,Non-Televised,"London, England, UK",London,England,UK
WWE-4064,2021-09-20,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1478,Televised,"Raleigh, North Carolina, USA",Raleigh,North Carolina,USA
WWE-4063,2021-09-19,WWE,WWE Live,WWE Live,Non-Televised,"Augusta, Georgia, USA",Augusta,Georgia,USA
WWE-4062,2021-09-19,WWE,WWE Live,WWE Live,Non-Televised,"Newcastle Upon Tyne, Tyne And Wear, England, UK",Newcastle Upon Tyne,Tyne And Wear,England
WWE-4061,2021-09-18,WWE,WWE Live,WWE Live,Non-Televised,"North Charleston, South Carolina, USA",North Charleston,South Carolina,USA
WWE-4060,2021-09-17,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1152,Televised,"Knoxville, Tennessee, USA",Knoxville,Tennessee,USA
WWE-4059,2021-09-16,WWE,WWE NXT UK,WWE NXT UK #162,Televised,"London, England, UK",London,England,UK
WWE-4058,2021-09-14,WWE,WWE NXT,WWE NXT 2.0 #594,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4057,2021-09-14,WWE,WWE 205 Live,WWE 205 Live #249,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4056,2021-09-13,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1477,Televised,"Boston, Massachusetts, USA",Boston,Massachusetts,USA
WWE-4055,2021-09-13,WWE,WWE Main Event,WWE Main Event #468,Televised,"Boston, Massachusetts, USA",Boston,Massachusetts,USA
WWE-4054,2021-09-12,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Albany, New York, USA",Albany,New York,USA
WWE-4053,2021-09-11,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Washington, District Of Columbia, USA",Washington,District Of Columbia,USA
WWE-4052,2021-09-10,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1151,Televised,"New York City, New York, USA",New York City,New York,USA
WWE-4051,2021-09-09,WWE,WWE NXT UK,WWE NXT UK #161,Televised,"London, England, UK",London,England,UK
WWE-4050,2021-09-06,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1476,Televised,"Miami, Florida, USA",Miami,Florida,USA
WWE-4049,2021-09-06,WWE,WWE Main Event,WWE Main Event #467,Televised,"Miami, Florida, USA",Miami,Florida,USA
WWE-4048,2021-09-03,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1150,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA
